id,type,type_label,question,axis1,axis2,quality,coherence,uniqueness,overall,quality_reasons,coherence_reasons,uniqueness_reasons
1,E,Adversarial,A city converts a public park into a mixed-use development that includes affordable housing units. The development also includes luxury condos that will generate tax revenue for the city. The affordable units go to people who are better off than the current unhoused population. Is this progress or displacement dressed up as solution?,A1|J1|D1,EP1,5.0,7.0,7.0,6.3,,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:607
2,E,Adversarial,"A company is laying off 20% of its workforce to boost shareholder returns. The CEO says this will make the company stronger. Is this a responsible business decision, or does it externalize costs onto workers while concentrating gains?",A1,EP5,6.0,7.0,6.9,6.6,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:32x;unique_text;ubiquitous_topic:740
3,E,Adversarial,"A company is offering stock options instead of raising wages. Is this a fair compensation package, or does it shift financial risk from employers to workers?",A1,EP5,6.0,7.0,6.4,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:32x;unique_text;ubiquitous_topic:931;multi_topic_overlap:4
4,E,Adversarial,"A social media company says its algorithm simply shows people what they want to see. But isn't the algorithm designed to maximize engagement, and isn't outrage the most effective way to do that? What does this reveal about the relationship between platform design and public discourse?",A1,EP6,5.0,7.0,6.4,6.1,,type_e_adversarial_present;epoch_plausible;tags_aligned,common_tag_combo:31x;unique_text;ubiquitous_topic:861;multi_topic_overlap:3
5,E,Adversarial,"A multinational corporation pays its workers the legal minimum wage in a developing country. The company claims this is fair because it follows local law, while critics argue the wage does not cover basic living costs. Should companies operating across borders be held to a single standard or local standards?",A1|F4,EP5,5.0,5.5,6.5,5.7,,type_e_not_adversarial;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:925;multi_topic_overlap:5
6,E,Adversarial,"An economist argues that immigration benefits the host country by filling labor shortages and contributing to growth. But the same economist argues that workers who resist wage competition from immigrants are acting against their own interests. Who benefits from immigration, and who bears its costs?",A1|H1|A2,EP1,6.0,5.5,6.5,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:925;multi_topic_overlap:5
7,A,Neutral Framing,Can we expect people to invest in their communities when economic conditions push them to leave?,A1|J1,EP1,6.0,6.0,8.0,6.7,good_length,epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;no_topic_match
8,B,Contrast,Compare how criminal justice reform and abolitionist approaches understand the role of policing in social order. What assumptions does each carry?,A1,EP1,7.5,7.0,9.9,8.1,good_length;concrete_entities;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,common_tag_combo:26x;unique_text;unique_topic
9,A,Neutral Framing,How did the guild system of medieval Europe organize different skilled trades into distinct social groups?,A3|A1,EP1,6.5,7.0,7.5,7.0,good_length;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
10,A,Neutral Framing,How did the organization of craft production in medieval guilds shape the economic opportunities available to different social groups?,A3|A1,EP1,6.5,7.0,7.0,6.8,good_length;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:565
